,0
51,“Navalny is a second most important person” 
52,"Outstanding discussion.  Lex, you get the best guests and have the knowledge to ask insightful, meaningful questions."
53,"God Bless Lex, you are an awesome human being, we need more like you, stay vigilant & stay frosty brother!"
54,"Hey Lex, thanks for another great interview. You look sad or stressed, I hope you are alright. All the very best. You really are doing a great thing. Stephen Kotkin was a legend as always, I hope you have him on again."
55,Great interview sir!
56,Thanks for the show. This guys is good on the western media propaganda.
57,A breath of fresh air. Awesome 
58,"This was superb. Yet again.
I have not as yet experienced one Lex Podcast I didn't get to the end of.
Always interesting, insightful and refreshing."
59,"For some reason, I like to listen to this man go on long tangents on your Podcast, while you listen."
60,"This is amazing Lex, thanks a lot for this beautiful content."
61,Brilliant podcast!
62,"Lex, I can't tell you how refreshing it is to hear your conversations and for your calm presence in the midst of the chaotic life topics of discussions you present. Many heartfelt thanks."
63,"Came here from spotify to say this dude is based AF, great podcast!"
64,I love how Lex brings people on to present both perspectives of Russia's invasion of Ukraine. This was a fascinating podcast.
65,Lex has surpassed Rogan in terms of interviewing
66,"Downright incredible conversation. From just listening to Stephen, I know that his books are fantastic reads. His ability to explain complex geopolitical machinations (Putin’s calculations for continuing the war) was so clear and concise that a child could understand it."
67,"I’m learning more and more about Russia ,22 years ago I met a Russian paleontologist who is a United States citizen, when I ask her about Russia back then all she said was not good. She left Russia and became a United States citizen before I met her.   This guy is saying everything I’ve been thinking and I just started watching the stuff but I seen it now ."
68,Огромное спасибо!️‍
69,Excellent interview.
70,I hope that Prof. Kotkin will soon be able to finish the 3. (final) Vol. of his excellent Stalin biography. A great scientist. Thank you!
71,Very intellectual guest which takes good points in history and can se hole view of world.
72,"Get Victor Davis Hanson on the podcast, a classical historian would be very informative here and in general. I rate him on a par with Mr Kotkin, no disrespect implied at all. This is a superb episode."
73,Outstanding Interview Lex and incredibly insightful and informative. Keep up your amazing work
74,Thank you so much for your conversation!
75,Hi Lex! Really like your podcast and interesting guests. Joe Rogan's podcast used to be my favorite but nowadays he mostly has comics and fighters on which isn't nearly as interesting as the good ol' folks you're having on. Cheers.
76,"""NATO is a defensive alliance""  this guy is as full of it, as what he claims Oliver Stone to be"
77,"I can't believe he said ""Nato does not attack"""
78,"We love you too, Lex. You’re the voice of a generation. Keep doing what you’re doing and don’t let anyone or anything ever hold you back. Please be safe on your travels. The people need you."
79,"Thank you, Lex. You are a wonderful human. Much love from Bucharest."
80,Stephen is like the Joe Pesci of historians =)
81,Thank you Lex and Stephen. Much love!
82,"Dear Hanne your comments give me hope for the positive power of this net and the reach, impact and significance of what Lex brings to us. Thanks !"
83,He hasn't won this room over with his reality tv production.
84,"Thanks a lot Lex for both Mr Stone’s interview and Mr Kotkin’s interview.
It is great to be able to see both sides and try and understand the current circumstances with their help.
I wish you a great trip back to the land of your ancestors."
85,NATO is a defensive alliance? Some historian. Lybia? Serbia? Defensive?
86,One of the most informative and insightful interviews about this subject I have seen. Bravo 
87,"Fantastic interview, thank you both!"
88,he's the perfect antidote
89,Good job Mr Fridman
90,Wow! What an intro! Prayers up Lex! ️
91,"""All war is based on miscalculation, but not everybody is punished for their miscalculation"""
92,I read both of his books on Stalin since the last podcast. Huge fan of Kotkin!
93,I've been wondering if Putin has a favorite Tsar. I'm hoping it's Alexander the first
94,Great interview. Though Kotkin is even more fascinating to listen when speaking at his own pace from a podium.
95,"One of the most informational podcasts I have ever listened to regarding Ukraine.  Hearing about Putin, and his historical links to Stalin, was an amazing listen."
96,"stephen kotkin,thanks for your inside and wisdom."
97,"Good one Lex. I agree with the guy maybe 20%, but I’m glad I got to hear this."
98,Kotkin never disappoints. He understands things very well and doesnt mince words
99,Thanks for inviting him Lex Love from Poland
100,Would have been very interesting if Lex could interview John Mearsheimer on this subject as well.
101,"I love you all too, Lex Fridman.

Let’s keep the love going…. There’s nothing more important."
102,"I have listened to it twice now because it is that good. One of the best conversations, and probably the best conversation I have listened to over the Ukraine/Russia conflict."
103,Thank you Mr Kotkin
104,"Damnit Lex, you've done it again... GREAT podcast!"
105,Wow. Amazing interview. Thanks lex and thanks Stephen 
106,"This is the best podcast ever aired.  I am sending this link to all in my sphere.  Thank you, Lex."
107,"Only a Russian could give the introduction Lex opens this podcast with.
Best wishes"
108,Would love to see this guy debate Andrei Martyanov 
109,Thanks to Lex Fridman for this amazingly important and fascinating interview with Stephen Kopkin
110,Would love to see Maren Altman on the podcast.
111,If you had Steven on every week I’d be faithfully watching every episode. Thank you from the bottom of my heart. Touching ending ️
112,"Lex, your knocking out the park with these guests. Thanks you for your work. Much love brother."
113,"Be safe in your travels, Lex. YOU are one my favorite human beings, despite not knowing you in person. Keep bringing light to the world."
114,"You’re a light in this world allowed us to learn and explore.
"
115,Great interview! Thank you for the enlightenment you have brought to me!
116,Sharing this excellent histrionic piece.
117,"Essential follow up to the Oliver Stone interview. Thank you for the balance Lex and humility not to colour the experts’ voices.  Subsequently, I come away with the perspective that Stone’s assessment, whilst well-informed on a first-hand basis is, as a result, deeply biased and without historical foundation."
118,Excellent interview and the mutual respect is apparent. Well done and thank you!
119,Lex is delivering on educators that Joe lacks nowadays.  Keep it up!!!
120,"Your fusion of humility, compassion and sensitivity is evolving the phenomena of podcast interviewing. It’s attuned to a global intellectual zeitgeist. Compulsive listening every time. 

This interview is another treasure: nearly three hours of Kotkin’s acute analysis and insight.

We might not agree with everything he says but his knowledge imparted to us - for free - is priceless. The same can be said of many of your guests.

Lex, do not underestimate the contribution your podcasts are making across the globe. For this we are hugely appreciative. 

Your emotional investment in Ukraine - Russia is particularly heart-wrenching. We implore you to stay safe as you travel both countries, and we understand your desire to embark on this journey. Trust you will find what you’re searching for and give support to those you visit.

Ultimately, we look forward to your return, your insights and your continued expansion of our knowledge via your interviews. 

I write from Africa and end off with an ancient farewell that we say to a friend when departing: “Walk gently. Walk in peace.”"
121,Oliver Stone is no expert...keep the experts coming
122,"Watching and listening to ""Eli from Russia"" gives me a better understanding of life and happenings in Russia than this Kotkin guy."
123,Incredible interview - thanks Lex!
124,"Mr. Kotlin's patience is also admirable, the way he gently, kindly corrects the flawed questions, the same way a loving father tries to educate his slightly idiotic son."
125,Mr. Kotkin always has me riveted!
126,"This introduction and ending brought me to tears. This was not just an insightful conversation with good historic information, but raw, courageous sense of impending potential uncertainty. Thanks for sharing this one Lex."
127,Thank you for your work! From Russia with love :)
128,Thank you . This was an incredible interview
129,That intro about Mr. Fridman traveling to Russia/Ukraine hits hard.
130,For a second I was worried he might not remember Lex's name.
131,Kotkin seems totally unable to see the world from a global south perspective.
132,This was the best episode yet. As someone who enjoyed the original focus on machine learning it’s great to see this transcend into something so much more. Great job and amazing guest.
133,"I need to start watching these interviews instead of just listening, this whole time I thought this was Joe Pesci!"
134,Coming from the Oli Stone interview. Really nice to get both sides. Media tends to skew things and yet i get a sense i can trust Lex here.
135,"37:30 Agree with most of the podcast so far, except comparing the invasion to a woman in New York.."
136,Really enjoyed this one even though the discussed topics were often very sad.
137,Again top class quality!!!!
138,Thanks for this. Love his first interview and I've been wanting to hear his thoughts on everything happening
139,The loop of insanity may have been introduced in the middle but in the mind it has been extended prior the beginning and requires examination and resolve to exit the beaten path of humanity
140,"What a fabulous interview.  I've been watching two years now, and catching up on old ones, this is one of the best I've seen. Stephen Kotkin just lays it all out and seemed to be spot on in almost everything he said."
141,The first 10 minutes tell you everything you need to know about Russia.
142,I would be great to see Kotkin and Stone discussing these relevant political issues in one room and producing insights mediated by Lex. Two brilliant separate interviews regardless.
143,"For me, more common sense that what Oliver Stone offered."
144,"Great interview, I couldn’t agree more with everything he was saying to include the US in Iraq in 2003. I was there with 1st Mar Div 3/12 L battery I was a gunner artillery crew member, the war was a complete waste of human life, we created the vacuum that formed ISIS. As Americans we own this. However Russia is basically taken Americas reasoning for war to justify the war in Ukraine just listen to their media and how they’re selling it."
145,"It is beautiful almost to watch two people I respect greatly show so much humility and respect toward each other.
Intelligent conversation is how we get beyond the strife.
Thank you both for moving the world forward with this conversation."
146,"I'm grateful to have known you as a professional, as well as a human being, using this podcast a tool to see the war through yours and others perspective. You are a great man who seems to understand the true consequences of your direct action. Regardless, this makes you authentic, leagues above the rest in terms of dignity and respect. Please continue to do greatness my friend, it suits you well."
147,Thx for the content! its a valueable opinion.
148,Wow I read one of his books when I took a seminar on Russian history.
149,This man is right on and I️ like how he doesn’t accept the bs justification pushed by pro-Russian agents and sympathizers.
150,Prof Kotkin has terrific insight into  Putin and this horrendous war....great teatcher!
151,I love how he is saying ‘lex’ hahahaha
152,"Thank you Lex for this interview. I disagreed hard with Oliver Stone, yet it was important to do it.  Please continue covering this and other topics, you are probably one of the best interviewers out there right now."
153,"Thank you for sharing this conversation.

I think Kotkin is really downplaying how influential the invasion of Yugoslavia in directing Putin's decisions.

I think the west has more responsibility to bear than we would like. Much like the rise of Hitler, neighbouring countries had a big role to play in his ascention."
154,Worth every minute!
155,"Bring Yanis Varoufakis on your podcast if possible. He has a good insight on Russia - Ukraine war and global order that leads to it. Also, he is an economist."
156,Lex I would say bringing the Oliver interview is good
157,Brilliant conversation! And once again Fridman allows the guest to speak instead of constantly interrupting and reducing complicated ideas to sound clips.
158,Amazing interview Lex  I'm always interested in people who are educated in Soviet history. Keep doing what you are doing. Thank you
159,"I met an 87 year old Ukrainian immigrant the other day.  He came here to California from Odessa 30 years ago. We worked as election volunteers together in Los Angeles. He spoke Russian much better than English. When asked how he felt about the conflict, he stated he didn't like what Zelinsky was doing.  He grew up in the USSR and always identified as Russian.  He's also Jewish, but identifies first as Russian. He said he understands why Russia felt threatened.  He's very aware of fascism in Ukraine.  Perhaps if he saw this video cast, he's change his mind.

3"
160,"This must be one of the best interviews of all times, all dimensions and galaxies!! This man is a living encyclopedia and knows how to communicate."
161,"The ""metaphor"" of the rape was so off, it was hard for me to take him seriously after he said this.  Having said that the man does have a lot of valuable information.  Will listen to this again."
162,"My favorite, so far."
163,"Keep it coming! It takes Courage!
But be it Stone or others.....always viewed through Neo liberal sunglasses.Try a different shade... that takes Courage too."
164,Is this man a historian or a hypnotist? It took two hours but I really liked when he finally opened up in hour two. The world like conversations are complicated and sometimes difficult. Maybe we should stop putting time limits on conversations so we can get to the humanity. Sincerely
165,"It's interesting to note that in 1991, when Ukrainians voted on whether or not to leave the USSR, the vote in favor of independence was also in the 90%+ range. Zelensky is popular because his actions are in line with the will of the Ukrainian people. Yanukovich got ousted because he tried to thwart it."
166,"Fascinating, passionate, knowledgeable speaker. Really enjoyed this."
167,"I wonder if Prof. Kotkin's description of Iran's leader as being ""whatever incarnation of the the supreme leader"" was a dig at both Khomeini and Khamenei because both of them have helped to destroy what was once a country that was flourishing and on their way to big success in the mold of a South Korea."
168,He sure likes Lex! Great interview btw.
169,I was also struggling to think of what you were gonna say to the rape analogy.... Very good interview 
170,I close my eyes and wonder how Joe Pesci finds the time.
171,"Heavy material!!! Thanks,"
172,"What a great way to explain everything! I am with this man 100%, thank you so much for inviting him!"
173,"This channel is a refuge for intellectuals, philosophers, artists and those on the scientific  rim.  Always thought provoking, invariably deep and utterly amazing. Do you ever sleep?"
174,My new favorite podcast!
175,"Almost every single argument he makes against russia, you could make identically against the usa"
176,"Stalin must be one of the most interesting characters in history and I only managed to read half of the first book of his biography how could an author make such an interesting life so boring, it takes a certain talent."
177,"Be safe Lex, this world needs you…"
178,The excellent timing of this interview as the geopolitical and economical world is entering a very dangerous and difficult period ahead. Let us hope that the Worlds  leaders have studied history and will not commit mistakes that dragged humanity to two devastatingWorld wars
179,Kotkin is pure wisdom. Maybe we should have him take a talk with Putin and Lavrov?
180,"Great interview, will need another when/if the war reaches a conclusion"
181,Great podcast!
182,Mr Stephen is one of the few brilliant minds of today world !!!
183,"Spicoli said, ""Learning about Russia. Having some food."""
184,"Thx for this amazing session with Mr Kotkin Lex. An amazing follow up from Mr Stone, two excellent episodes. My only complaint it didn’t go long enough! I could listen to Mr Kotkin and his knowledge on Russia/Ukraine and the world in general for hours."
185,"Lex these were the poorest set of questions that you could have prepared. 
- every country has a right to choose which alliance to join BUT NOT AT AN EXPENSE OF SECURITY OF OTHERS. Why you haven't asked about that MAJOR part? 
- poisoning with NOVICHOK. Where are all the evidences that NOVICHOK was in fact been used? Where the criminal records of it to be used? Where the autopsy results? 
I love your podcasts but this one in particular had a very poor set of questions. 
-International treaties signed by USSR/Russia and NATO. Why haven't you asked about numerous breaches of these treaties by US/NATO?"
186,"Superb conversation, a sublime melding of high intellects and good hearts."
187,Wonderful interview with the brilliant Stephen Kotkin. A little correction though: Russia received VERY LITTLE net financing (after debt repayment) from the West.
188,"Lex I feel you didn’t feel comfortable with the picture Stephen was drawing in front of you. Oliver May have been one sided as well, but Stephen definitely was doing war propaganda. I saw you felt overwhelmed by what he said you felt sick. You did a great job with those two interviews. But I ask myself why you didn’t confront Stephen more with some of the points Oliver told us. You confronted Oliver sometimes. But you felt like overwhelmed by Stephens blindness. Well in his case it may have been just the best you could do to let him talk and talk and talk and draw out the hole terrible picture he has in mind."
189,Id really like to hear his opinion of the Saudi relation with the west
190,Great interview! Thanks  🇺🇦🇺🇦🇺🇦
191,fresh breath of air after Propaganda by Oliver Stone.
192,One of the best interview's I've seen on the invasion of Ukraine! I still remember writing a paper on Stalin using Stephen's first volume for my world history class in high school.
193,"A most balanced and insightful opinion of the world.
Good will prevail ,"
194,"Hey I just came to say how much I admire your patience with your guests.  This guy was really annoying.  ""Lex, Lex... Lex.."""
195,Giving Ukraine $100 B a year would be more than doubling its government's prewar budget.
196,This was a brilliant discussion! Mr. Kotkin has provided insight into this conflict thanks to his profound knowledge of history and con text. People should be paying attention to this and not to some'soundbite' claptrap.
197,He reminds me of one of the invaders in Home Alone
198,Historians have their own interpretation of what happened in the past.  Interviews with people who have lived through those horrors would be crucial to obtain real life.
199,"Ultimately, Kotkin holds a deeply biased view of the situation and very often seems unaware of his numerous hypocritical statements. The analogies employed were often farcical, misplaced and inappropriate. Furthermore, it's one thing to have an opinion on a topic, but to disseminate that opinion as if it were fact is misguided, even arrogant."
200,"Thank you so much for being brave, idealistic, and concerned Lex —  please take care of yourself and please know that your offering so much to your many followers here. I appreciate the way your able to articulate with great ethical candor and i respect the way you are able to create a safe environment that cultivates an intimate, and thoughtful forum for communication related to these very relevant topics."
201,"The depth of his insights and  the clarity and simplicity at which he articulates those insights is insane.  

You  got all the answers you were seeking on all those credible news channels all this while and still did not get.

You got all those answers in this one podcast. 

Thanks Lex."
202,"Kotkin's definition of ""the West"" is bizarre and ahistorical.
Japan is ""Western?"" Really? What percentage of the Japanese population would call themselves ""Western?"""
203,"I like this Joe Pesci look a like person, he is a good fella :-)"
204,"Not only is the subject fascinating, but this man is a great interview. I've not properly understood Russia until now."
205,I love this man OMG
206,"Incredible conversation, incredible guest, I could listen for another 5 hours"
207,Best podcast I have ever listened too.  Thank you both.
208,Thank you for having Stephen on after Oliver Stone. Nice to hear a coherent thought of the Russia invasion!
209,Great interview. Is it me or does this guy sound like Joe Pesci?
210,"Had me a little worried after OS.  Glad to hear this perspective, makes more sense to me.  But it is also nice to hear there are other thoughts out there…"
211,"""Stephen Kotkin is aN historian specializing in Stalin and Soviet history."" Sure.!     And his anti-Russian bias is very obvious. I got more and more angry as the interview dragged on. He is a clever and sophisticated man obviously.. but also obviously very very ignorant. I am posting this and shutting the video down after he gave credence to the Novichok lie. 57 minutes of wasted time. Push back harder please Lex."
212,Again thank you Mr. Fridman for another brilliant podcast that educates many of us. (Holland)
213,"You did not do a great job at pushing back here, Lex. Why did you never ask him about US interference in Ukraine prior to the invasion? Or about US support for Maidan revolution, plans for US missiles within Ukraine prior to the invasion, US Congress changing an earlier prohibition to fund right-wing extremists in Ukraine prior to the invasion?"
214,I lost Stephen somewhat when he supported Ukraine taking back Crimea with no care for the diversity of thought of those living in Crimea and the level of support for allignment with Russia.
215,As we can see today...nearly whole Donbas belongs to Russians. Turkey soon will sign several economic agreements with Russia. Turkey doesnt agree on Finland and Sweden joned Nato. I like the joke about Warsaw and hope noboddy gets the idea for Poland  fights Russia. We have  complicated history with Russia but at the moment I dont want to be on a side of sfastika ukrainian batalions fasist state with jewish actor in charge. Im thinking the  west has lost this battle
216,This one is    
217,Why is there no time stamps? Can you mention the date of the interviews in your introduction?
218,"Wonderful, rich discussion of much depth and wisdom. Thank you."
219,"Brilliant convo with respect, love, and empathy."
220,This was such a great episode.
221,Kotkin is one of those westerners that only see the victims of communism but never mention the victims of western imperialism that are still accumulating.
222,"I must say this was the must insightful and enjoyable podcast that I ever watch on an current topic.
Mr kotkin is an extraordinary communicator made every topic so easy to understand,great conversation lex thoroughly enjoyed this episode."
223,I didnt know Joe Pesci was an expert of Russian history.
224,Mr Kotkit is much better informed and has built a way more solid and grounded knowledge on Russia and Putin than O.S. ever can dream of.
225,"His arguments against Russia are Valid, but justification for West's aggressiveness is invalid."
226,imagine Lex starts saying Stephen's name every other sentence as well
227,In 28mins it semestre I.possible tô find an appropriate point tô start debunking this speech. It is mind blowing!
228,When he said “ freedom is better than unfreedom lex” he sounded like an older Michael Malice
229,when you put all the speculations together you get an interview like that... really a lot propagandist words.. nothing else
230,"An in-depth analysis from an educated person, a historian, who understands the russian history, culture, ego very well. And then you have OS, a movie maker, who spreads pro-russian propaganda on his twitter."
231,The amount of times he says Lex's name makes me think he's trying some kinda PUA/NLP move
232,Great combo to the Oliver Stone conversation! Really enjoyed hearing Kotkin's educated view on this!
233,Best propaganda so far. Nicely packed 
234,"Fascinating interview, but I do have a problem with one thing he said. PJ O’Rourke was not a comedian. He was a political satirist, social commentator, and journalist. Calling him a comedian is an unintended insult and also a very confineing label that doesn’t come close to covering who he really was.

Calling PJ O’Rourke a comedian would be like calling Will Rogers or Andy Rooney a comedian."
235,"i will have to watch the stone interview, i will probably agree more with him!
last comments 2:33:49 i totally agree."
236,The subtle attempts of Lex trying to play care of Putin’s apologist failed miserably today.
237,Most important prodcast i ever seen in this year
238,Bless you Lex. Going to listen now. That sigh around 2:32 is everything . He's not interviewing here but processing his pain.
239,"Best recipe for immortality: delay your time of death until you witness the disintegration of the Russian army faced with the Ukrainian one. Right, Mr. Kotkin, just you wait !"
240,"This was probably the best conversation I have heard on the war and it's context this whole year.  He politely refused to speculate on his answers and brought some very important insights to the table. I loved to hear his view and some of the facts I was not aware of before this podcast. Thank you Lex, thank you professor and all the best to both of you in your own ""silly"" pursuits."
241,"This guy uses a condescending tone to say everything , I’d love to talk to one of his kids if he actually had any."
242,"By the end of this episode, I couldn't help but conclude that Klotkin is, in the end, carrying water for the Empire. Brilliant mind, but either not objective, or has some blind spots."
243,Can you please do research  on Lincoln Bain in the Bahamas 🇧🇸   Please Lex
244,"ich habe hier in Deutschland noch nie ein Interview auf diesem Niveau gehört.Der gegenseitige Respekt, die Wertschätzung anderer Sichtweisen u.auch der immer wieder mal durchscheinende philosophische Hintergrun"
245,"The US is to blame 
They toppled the elected and this while Russia was having their olympic. CRAMEA was referendum and the people wanted to join Russia."
246,Thank you both for this amazing interview. I'm watching it for the second time in 3 days already.
247,"Спасибо за интереснейшие интервью.
Живя сейчас  в России, в 90- х в США, будучи свидетелем многих переломных моментов, замечу, что с моей точки зрения, Оливер Стоун, гораздо точнее в понимании России и Путина."
248,"I appreciate Lex having someone on to counter Oliver Stone, but I don’t see how this fella is any different than your run of the mill neocon or neoliberal. This just as easily could have been an interview with Bill Kristol or Hillary Clinton. Would not be surprised if Raytheon funded this guy’s book, which I certainly will not be buying."
249,"Need to interview Eva Bartlett, Patrick Lancaster for a balanced view"
250,"Very good interview and Mr Kotkin made some remarkable statements, shedding light on complex situations and providing a different perspective. Unfortunately, at times he sounded too much like an Ukraine / Zelensky fanboy in my opinion."
251,"Thank you Gentlemen, Stephen & Lex, for this powerful, deep and broad insight. May Almighty God bless you and your positive influence to the world. And Lex, may you have a safe trip visiting Ukraine."
252,"Another great interview.  Keep up the good work, this was very informative."
253,"Wow! What a wonderful and insightful discussion. Stephen Kotkin in my view is spot on. He undeniably has an incredible perspective. I may be biased but for me, his arguments are solid. Thank you for another great podcast Lex!"
254,Its amazing how both Oliver Stone and Stephen Kotkin live in their opposite bubbles.
255,"Love you buddy, and I am worried about your safety."
256,"The guest discutst me at a visceral level. I do want to listen to the point of view im less inclined to agree with but this guy makes it so hard for me to empathize with his side,even though he has a couple of good points"
257,is this a professor for sure? why is he telling Putin to look on Twitter whether he is losing the war or not? it's very funny to hear
258,"Be safe out there Lex, the world is in need of beautifull souls like yours ️"
259,Stephen Kotkin's sanctimonious western moralizing is frightening.  He's so out of touch with today's realities IMO.  I can't bear to listen anymore. Give me Oliver Stone any day!
260,"Thank you for this interview, it was worth every minute."
261,Protect Mr Kotkin at ALL COSTS
262,"A lot of people do say China invests in businesses and nations over seas so they become dependent on the China economy for continued success. So maybe Russia has a point, they get money sort term but pay for it longterm, just an idea."
263,если бы все политики переняли Ваш менталитет то у нас бы не было войны
264,Mosr of his argument involves appeals to exceptionalism and emotion.
265,"1:58:55 “So that’s coming” he says. Yes, we saw that coming! It lands in schools in Donetsk! American cynicism and hypocrisy is second to none."
266,great podcast as usual....stay safe lex!
267,Feels like Lex is fighting his ideas so much more that Oliver Stone’s
268,"A very interesting discussion, but the analogies of MR Kotkin, are skewed and are clearly biased reasoning, smooth but biased.I hold no brief for either Russia or NATO, but history has shown that human nature is what it is. One who feels threatened  will react. We can use flowery words and rational  arguments but human nature always takes precedent. Russia will flatten Ukraine and the world, inclusive of Russia, will pick up the pieces  and move on."
269,Let please Oliver Stone listen to this.
270,"Thank you lexfridman for this conversation. You are very welcome to #ukraine, and if you planning to come to #odesa it will be a great pleasure and honor to meet you and show you our lovely city!"
271,Why is Catkin so great to listen to but so tedious to read?
