,0
25,Wow Lex I am very impressed with this interview.  so much so I've subscribed to your Podcast & Youtube Channel.
26,"Mr. Stone, I completely agree with your analysis of American foreign policy since WW2. No moral person can see America's actions as total selfish aggression. The world is not a board game. I grew up believing we were the good guys. At best, we are no better than anyone else...most likely worse than many."
27,I suggest Mr. Stone to confront his view of the situation in Donbas in 2014 with Mr. Girkin / Strielkov's interview given to Mr. Gordon. It can be inspiring.
28,"Take note, this is how you interview a guest.  You actually let them speak and let them finish their thoughts.  Excellent work Lex.  A+++"
29,"Great podcast Lex. This is how its suppose to work. Give them a platform allowing them to speak in relative comfort. Drawing them out for the world to see. Then allowing people to make up their own minds.

I think this worked very well with Stone. I find him to be as tribal as any. Performing mental gymnastics worthy of gold in his attempts to stay on side. There is a lot of truth in what Stone says but he never applies the same standards to his narrative.

Stone's analysis of Hitler's Germany taking it easy on Britain by not invading is so heavily flawed. Not only highlighting his problem with facts but also demonstrating how far into la la land he is willing to go."
30,"The number of casualties from nuclear that was mentioned is only the number that is public as people who were immediately affected by it. There are a few estimated numbers from various organizations that go into the hundred thousand and more as cancer rates, due to radiation and contamination. But obviously, it's difficult to pinpoint and connect these numbers. That said, I wouldn't dare to say that nuclear casualties are the lowest number of all the mentioned energy sources."
31,great stuff. The different view point is being expressed in a respectfully space without someone trying to argue or shame them simply because it sounds wrong.
32,"thank you Lex. you've got most quality humans in your interviews. many. i know, if Dennis Ritchie was alive, you would have interviewed him.
and thank you Mr. Stone, you are the voice of reason. now we need a modern version of the movie Born on the Fourth of July, where the victim has taken the jab for the team, got injured and the government is blind about his/her suffering after spending taxpayers millions on advertising for the ""vaccine"""
33,"I have a high regard for Oliver Stone, and I thought he had a lot of people skills. That he then votes for Biden, it falls in my estimation. Then his fear of Trump must be high. Biden has been in politics for so long, then you now know how such a loser that man is"
34,"""The line between good and evil runs through heart of every man. And who is willing to cut the piece of his own heart?"" 
To me the next sentence is even more powerful.. don't know why."
35,"First time I'm watching a Lex interview, and boy! You're so thorough, I'd watch you interview anyone for days and never tire. Amazing!"
36,Oliver is becoming more aligned and more like Steven Seagal as the years go by.
37,Wonderful interview man love this stuff so dam good not the crap we get from mainstream thanks lex
38,There is more value in a 10 minute clip from Lex interviews than the average person will gain from watching MSM for a year.
39,Oliver Stone speaks about Putin like a man who has been privately made aware of significant Kompromat.
40,1:34:40 “there is levels to this game” and Lex is definitely on the higher level then oliver. The way he opened him up without confronting him is just amazing
41,"Ollie had the lowest lowball question about energy and war (Middle East, DUH!) and choked on it"
42,This felt like a podcast after teleportation to 1956. Uncanny 😂 Where's the time machine 🤔
43,I can listen to Mr. Stone for hours upon hours. Great stuff!
44,"Thank you, this was very helpful, well done."
45,"This video popped up because of Mr.. Stone  I'm learning more about as JFK movie ...thank you for the great interview and intelligent questions you put, the art of it."
46,"Fascinating insights, well worth a listen (even with an interviewer who has a veiled pretence of independent journalism)"
47,"Sincere thanks Lex for allowing such a wonderful interview, and my total gratitude to Oliver Stone who proved to be the knowledgeable honest human being I hoped he would be."
48,I would love it if nuclear energy got brought up as a legitimate solution and not just for fear mongering.
49,Honest person able to acknowledge faults who interviews the courageous and understands evil motives and power of micimate complex so subscribed.
50,"Stone is really good at shining a light on the reductive perspectives of the West, but he does it by applying a mirrored slant.  Sometimes I feel he got lost in the ""devil's advocate"" role and forgot that truth isn't a battle of binaries, it's a spectrum that gets presented as dichotomous to more easily sway people to one side or the other.  His countering arguments are important, but to me seem almost as shallow as what he's criticizing."
51,"Hey Mr. Stone! For the first time, in my life. It is ""Nuclear Energy"" that I agree with you!"
52,"Thank you Lex. Informative and stimulating interview, with a complex and genuinely honest Oliver Stone."
53,"Lex, I love the aesthetic, and I guess “vibe” of your podcast. The mood and tone you’ve cultivated is very your own, and I know when I watch a lex fridman podcast, I know what I’m getting, and on YouTube it’s rare for someone to carve out there own thing. Kind of a like having comfy blanket, while laying on a stiff couch.. if that makes sense. Anyway thanks lex!"
54,Very tasteful and classy interviewer. I first thought it was from the 1950-60s era. So good to see an interviewer who takes pride in the profession and looks like a “real journalist “. So far good job asking relevant questions and just listen to the full answer and not interrupting like most interviews 🎉
55,"Thank You so much Lex & Oliver for this interview, I think we all  grew a little as humans paying attention to these carefully chosen questions and the honest delivery and expressions of truth during the discourse."
56,"Lex, you did an excellent job.  Great questions,  amazing perspectives were important to hear. Thank you for preparing & taking the extended time to interview Oliver Stone on delicate,  & yet seemingly unending issues both abroad & right here on our doorsteps. So important to capture his experience & knowledge of the world from historical & current events.  Love Oliver Stone."
57,"Thanks for an awesome conversation.
Even though it touched on some scary notions about the state of the world I enjoyed it immensely, and know that conversations like these is what is needed.
Keep them coming, and many thanks again."
58,Another amazing enlightening interview. Thanks!
59,"Lex, in my opinion this is your most timely work. Stone is uniquely placed to speak both on Putin and Ukraine. It's not a commonly known project, but Oliver has spent years working on documentaries related to Ukraine. On the other hand of course, his Putin interviews are incredibly famous. He may be a filmmaker, but this is also a man with a deeply informed and personal observation on the crisis unfolding before us. Great work."
60,"10:09 one died at Fukushima    ""in 2018, the Japanese government recognized the death of one Fukushima plant worker to be attributable to radiation exposure, disbursing compensation to his family. The worker, a man in his 50s who had spent nearly 29 years working at nuclear stations in Japan until September 2015, was in charge of measuring radiation at the Fukushima plant. In the period of December 2011 and September 2015, the amount of radiation he was exposed to more than doubled from roughly 34 millisieverts to around 74 millisieverts, as the Japanese newspaper Mainichi reported. The maximum level of radiation exposure workers should be exposed to is 100 millisieverts every five years—an annual exposure to that level of radiation is linked to an increase in cancer risk. The worker was diagnosed with lung cancer in 2016 and died of the disease.""  source  - forbes"
61,keep doing Lex.     done a great job here.        Kudos.
62,I wish they still made movies like PLATOON. It was so real to me when I watched it as a kid.  What a spectacular job and performances. Thank you Mr. Stone.
63,"Me siento avergonzado por no haber conocido antes tu canal. Te envío mucho respeto y te agradezco por esta entrevista, tan necesaria y reveladora."
64,"Some excellent, smart questions with very good answers, thank you. But Mr. Stone should never have voted for Biden. A huge mistake that will stay as a stain."
65,"1:34:34
Congratulations on the dream coming true Lex; my throat clenched with joy and some vague pride when I heard him compliment you so forthrightly. Absolutely adore the both of you."
66,"I have a lot of respect Oliver Stone , a great artist one of the few people in Hollywood that you can watch him in an interview and not end up disappointed"
67,Thank you Lex and Oliver Stone. This is a marvellous conversation
68,"The question about ""power corrupts..."" was very clear and direct, but I was
 surprised to hear the response fly over and around it. That left me wondering what the interviewee wanted us to take away."
69,"Many things/perspectives that Stone comments on about things I don’t tknow much about or understand I find very compelling.

Then, whenever he casts his opinion about things or people I have actually studied or understand, I realise he follows a very blinkered, revisionist narrative about these things. Almost reflexively, he’ll look for proof of his own leanings on things. And so I don’t trust his opinions on other things.

Regardless, a very talented and intelligent person. Just, perhaps, lacks self awareness of his own limitations."
70,"It was disappointing to not hear the word 'Thorium' when discussing the future of energy production by way of nuclear fission.  One would think that a documentary covering this subject would at least broach the subject.  Can ""walk-away-safe"" thorium molten salt reactors be made the technology of the future? Perhaps. Oak Ridge National Lab ran one successfully in the 1960s.
If as much effort is put into such a project as there was to develop light water breeder reactors that produce plutonium used in nuclear weapons, then it could be possible.  Since the future of humanity hangs in the balance, it's worth a try.

The other issue with light water reactors is the fuel.  Uranium is nowhere near as available in the earth's crust as thorium.
Uranium like many other metals is getting more difficult to find and exploit profitably.  Having 10000 reactors in the world rather than the present 200, imagine the fuel requirements AND storage of the radioactive waste for thousands of years.  Thorium does not have this issue.  The 'low' death toll for nuclear energy was cited.  But the consequential damage of radioactive elements pouring into the Pacific Ocean to this day at Fukushima was not addressed. Again, thorium energy would not have this issue.  

Mr. Stone says 'methane' like it's a dirty word.  Methane is the primary gas that comes from gas wells.  It is mixed with other gases like ethane, propane, butane and their derivatives.  These other gases are separated at source and used for the manufacture of petrochemicals.  Example... ethane is cracked to ethylene and polymerized to polyethylene.  A useful material in today's world.

When methane is burned, it produces carbon dioxide and water vapour.  Although methane is a more potent 'greenhouse gas' than carbon dioxide, it does not persist in the atmosphere.  Carbon dioxide is plant food and not as much of a contributor to global climate as is the sun.
Now, if thorium nuclear energy can displace the combustion of natural gas (aka methane, CH4) then this methane can be put to better use... Natural gas is a key source of fertilizers in the form of ammonia and urea.  What is not to like about this re-orienting of priorities?
I believe that nuclear fission energy is the future. We are in the right forest but barking up the wrong tree."
71,"18:25, a former member of the KGB, gave an interview on Koncrete, not that long ago. He spoke on what Oliver just stated, and he said thats exactly what Russia was trying to do."
72,"excellent interview, thank you"
73,"Excellent, simply excellent!
This discussion should be mandatory viewing to all journalist schools.
it sets a very high standard for a meaningful and earnest interview."
74,"Hey Lex .. 

First .. I listen to your podcasts *a lot* .. You are an engaging interviewer and I'm impressed with the caliber and diversity of your guests.  It must be an amazing experience for you as it is for us, your audience.   

I don't do Twitter (it's an abomination) so I ask my question here .. and if it gets lost in the ether .. so be it.

My question ..

I have not seen any interviews with past ""heads of state"".   I have noticed that your interviews tend to be with top scientists, film makers, etc ... essentially people at the ""top of their craft"".  But .. what about people at the top of power?   Have I missed some podcasts? .. Or do  these folks not deign to interview with you?  Do you try to court them in any fashion?   Would it be too difficult to honestly deal with people who are embroiled in the power game and need to maintain their message?  It would be nice to know a politicians true thoughts for a change.

Also, what about Bill Gates or Bezo's?   Have you tried enticing them on your show?    These are two people who have affected our landscape in an incredible way.   Even more so ,at the moment, (dare I say) than Musk.   I know I will get a lot of disagreement on that last statement.    My argument is basically this.  I am typing this comment using a Windows PC.  Later today I will shop on Amazon.  I don't own a Tesla though I am enthralled by them .. and the rockets.. just Wow.  But I digress.

I don't expect an answer to my queries.  My intent is to put a ""bug in your ear"" ..  ;-)

I think your podcasts are easily the best and they have personally broadened my horizons.  Please keep it up as long as you enjoy it."
75,"As time passes, Oliver Stone seems increasingly prone to holding beliefs that he wants to hold, rather than ones supported by evidence. He'll speculate wildly on some (or, many) things, while taking others at face value (Putin, for example), or continuing to hold onto conclusions formed during early impressions in lieu of adjusting based on new information."
76,"""The environmentalists have played a huge role in doing good things, many good things. But also confusing and confounding the landscape."" ~ Oliver Stone"
77,"Hello Mr. Stone, I appreciate your work. I would like you to re-examine the Chernobyl fatality rates."
78,"Oliver, you are really brave man! Free expression of your opinion is some kind of valiance today. Thank you for your throughout analysis which is out of imposed narrative and mass brain wash."
79,“Poland was always attacking russia” whaaaat?😄😄 this guy is on putins pay roll for sure
80,"Amazing interview Lex! you ask such good questions and I really like how you let people say what they have to say. The hypothetical interview with Hitler was fascinating too, it gave me a better comprehension of why Oliver proceeds in the way that he does with his films. I like the fact that he gave both Bush and Putin a chance to speak, it shows an astounding level of openness in what he will talk about and with who. I did find him to be too pro Putin and anti Ukraine/ the west but it is a refreshing take on the situation at the same time too. The western propaganda machine has censored Russia too much, I would like to hear the propaganda from all sides, it helps me to realize that it is all propaganda"
81,"I really appeciated the way you conducted this interview.  Your questions were intelligent and asked in in a non-combative way that did not editorialise.  Importantly, you gave Mr Stone the space and time to answer the questions in his own fashion.  He was allowed to provide some context and explain his rationale.  As a result, i learned a great deal. Thank-you."
82,"I loved this interview both characters were fantastic. To interview a great interviewer must be difficult, well done!"
83,"excellent interview, thanks for this..."
84,All countries are sovereign in Oliver Stone's eyes.  But some countries are more sovereign than others.
85,"21:50 discussion of the Belgian Congo & Mobotu. I just read Naipaul's novel a bend in the river, a fictionalized, extremely deep exploration (and scary) about this situation"
86,"For the powerful, crimes are those that others commit. —Noam Chomsky

The object of power is power. —George Orwell, 1984"
87,Wonderful chat. Stone is sounding a little like Michael Crichton when discussing nuclear power. Both bloody legends!
88,"Thank you 
I love your work , honest and very very interesting , intelligent and to a a level difficult to find ."
89,"A wonderful Interview. Thankyou, Gentlemen."
90,Thank you for this video. It gave me some eye opening information.
91,"As a computer science student myself I am learning that pressure, confusion, and mistakes are when I have my best moments of learning. By trying to create something and finding out why it is not working is almost a relief when  you find the error. I hated tech and computers in my teenage years, went back to college in my mid 20s , and the stuff I understand about programming and systems and data now, i would never of guessed I could learn it. I think what Mr. Stone is saying here is, while your young, learn as much as you can about everything, to make it a part of your life. To keep learning everyday is a blessing we have the ability to use."
92,"Thank you Mr.Stone for your thoughtfulness and Sincerity. I do believe you're right about fear. I think fear is a weapon to silence but there is a weapon to speak and His name is Truth, Faith over fear. I will have to look into more of your work. You too Mr.Fridman."
93,"Stone: ""Poland has always been attacking Russia as far as I remember back to another century I mean the two world wars that occupied Russia""..  interesting lol"
94,"""If you want a vision of the future, imagine a boot stamping on a human face -- forever.""  George Orwell"
95,I Love Oliver...free thinker. I had the same opinion about this conflict. good to know I am not alone
96,"""The real President is the one in control of the teleprompter."""
97,"The two biggest glaring things that popped out at me regarding Stone's views in this interview is 1) his casual portrayal of Putin as having ""defended"" Russia against Chechnya and Georgia. The invasion of Chechnya for example was justified based on a false flag attack and it was needlessly annexed by Russia, and ironically the Russo-Georgian war has a LOT of parallels with the current Russo-Ukrainian war. 2) his claim that Hitler showed some sort of a kindness to England by not invading them; in reality, ALL of his generals knew and told him in no uncertain terms that an invasion of England was absolutely not logistically possible. The D-Day invasion itself was almost impossible, and it depended on YEARS of massive American industrial output, whereas Germany couldn't have even handled the construction of just the landing craft that the Allies used."
98,"Stone's expression after commenting on Bucha - Lex obviously gave a ""don't go there"" look..."
99,"People were amazed when the Soviet Union collapsed of how peacefully it all went.

But it only took a while to get bloody."
100,"What a world we have if one group is constantly taking advantage, or setting policies and demanding adherence of others.  Like a bunch of bullies in the playground relishing the fun of intimidating and herding others.  With time ambiguity, or acquiescence leads to complicity.  Thought we had bigger issues/problems to solve."
101,"9:18 – Souhlasím, změna musí přijít „ze spodu“, individuálně a regionálně podle těch kterých konkrétních podmínek. Každý musí začít sám u sebe, ideálně každá rodina ostatně v souladu s již probíhajícími dotačními programy. Možnost se na něčem domluvit, opravdu si navzájem rozumět a potom podle toho také dále v aspoň střednědobém horizontu (a je nutné uvažovat v dlouhodobém horizontu v řádu několika generací) konzistentně jednat je u lidí tristně nízká. Zjednoduším to, pokud v USA každý demokratický prezident zavede opatření a uzavře mezinárodní dohody týkající se ochrany klimatu a udržitelného rozvoje a každý republikánský prezident je zase zruší nebo výrazně omezí, tak to nemusí dělat vůbec, ušetří tím čas, peníze a energii minimálně za ty first class letenky na konference."
102,"Lex, your podcast is so incredibly well done. Thank you from the bottom of my heart."
103,"Oliver Stone one of the great film makers of his time, he gets to the heart of the matter what ever he creates."
104,"Thank you, Lex. Great interview."
105,That's how podcasts should be. Thank you very much.
106,"Excellent interview, Thank you."
107,"Made it to 1:39.  No Lex, there is evil in the world; there are evil people in the world.  We are not all the same."
108,"My favorite interview of yours , besides Elons of course, is Josha Bach . I watched it 3 times! What a fascinating man  :)"
109,Thank you very much Lex for interview. Good luck!
110,what a beautiful interview. thanks a ton to both of you.
111,"Dommage , ce serait bien , s'il y avait la traducton en francais de son interview en dessous, d'autant que j'aime bien Oliver Stone"
112,"You’ve talked about interviewing Putin on some of your recent podcasts, would be very interesting for that to come to fruition! Would be a very interesting podcast to listen to and to hear his perspective. Keep up the good work Lex!"
113,4:53 Myths about nuclear energy have made nuclear energy politically infeasible. Looking forward to the documentary.
114,Fantastic interview ! Thanks to both of you 🤗
115,"Lex is good. Great interview.

However, why didn't you ask Oliver what Russia's military objective was? 

Oliver said the poisonings outside of Russia was never proven to be from Putin. Why didn't you ask who ordered it then? And why?"
116,"As always lex at his best. 
A much needed interview for recent times."
117,"You sir, are a gem. Thanks for your perspectives. I am you are we."
118,"I was knew the guy who was translator in Oliver’s interviews with Putin, awesome man"
119,Fantastic interview!!!!!!
120,By far the biggest problem is Methane escaping from Permafrost but it is less of a problem if used rather than become a greenhouse gas
121,"Love Oliver Stone, his movies and interviews, but in this case he is speaking out of both sides of his mouth. Putin's attempt to absorb parts or all of Ukraine is completely wrong. I do agree however about U.S policy to confront all rising power threats, economic or military. Overall, a very, very interesting interview and view points."
122,"Great interview, Lex!  It's the first time I've watched an interview from you. Your an amazing interviewer and please keep it up! Thank you for doing your shows!"
123,Absolutely amazing interview. Thank you. It's really hard to get unfiltered information today.
124,"This was a great interview & helped me realize having a conversation regarding Russia’s side of this war with anyone in Oliver Stone’s generation will be a challenge as they have been raised with the idea that U.S is the good guy and Russia is evil. I’m Not saying they haven’t done some evil things but our hands are nowhere near clean. So If you  care about the people of Ukraine and you support the war, then you are a proxy-moron. Oliver said so much of my thoughts from watching an interview of Putin in 2019. Again not saying he’s great, I’m saying he seems more level-headed than the monster the U.S wants us to believe he is. That’s all. But on another note is Lex single ? lol - asking for a friend 😜"
125,"I have visited Ukraine in 2014, there were no nazi deathsquads commiting asassinations"
126,Alex missed the opportunity to ask what this man thinks about the fact of the reality that under Trumps administration the peace trump’s almost any other president.
127,"Im in tears man, thank you Lex"
128,"""Seek to understand."" That was the line that resonated the most for me. This was my first video on your channel so I didn't quite understand your introduction. It made sense, of course, by the end. Well done. Thank you for this interview,"
129,What a beautiful reflection at the end on death and the preciousness of life.
130,Keep it up Lex!  Doing great work!
131,Excellent interview
132,"Ok, totally non-related, but I would love to listen to an ASMR by Lex.  Especially one in which he says it's all gonna be Ok."
133,Fascinating interview ...👏👌
134,"Thank you, Lex, for such a meaningful and thoughtful interview with Oliver Stone, who is without a doubt one of the greatest filmmakers and interviewers. He documented some of the most important people and made movies of the most important if not tragic events is our history.  Great, great interview."
135,Thank God Lex cares enough to get this message out
136,"Thanks for the time stamps.  It's really helpful.  Best wishes from Patagonia, Chile."
137,Oliver Stone mentioned Central America. I'm happy to hear he is very well educated on conflicts around the world through out the 20th century. The country of El Salvador is going through a major change. And it's not making the U.S happy. Oliver Stone could make a new documentary for El Salvador adoption of Bitcoin and the new president Nayib Bukele. Even Lex should invite Bukele for a conversation.
138,"38:00 Some would argue that Yeltsin put Putin in charge because of state secrets and that Putin showed disrespect to Yeltsin from the very first day he handed power over to him when Yeltsin was calling him to congratulate him and all Putin could say was he would call him back (which he never did.) 

Bill Clinton warned Yeltsin that Putin would be a danger to democracy (and it was during a visit by Putin to the White House where Clinton was eying him over and wondering where he stood on positions,) which initially Yeltsin brushed off but in the last years of his life came to express agreement with."
139,Nice job lex. It's still smoke and mirrors or we'd be getting stock tips without the red tape
140,Thank you for the great interview.
141,"Great collection of conversations, great for the commute."
142,Interesting perspective from Mr Stone. He’s essentially blamed every Russian show of aggression across their history post WW2 on US cloak and dagger moves behind the scenes.
143,"Two of the most relaxing speaking voices, not to mention great interviewers."
144,Thank you so much for this interview. It is more then awesome.
145,you are a faboulous interviewer lex
146,"Great interview.  Most enjoyable.  Many thanks Lex, I learned many things during this time well spent."
147,"16:03 - Válka přímo souvisí jak s energií v obvyklém slova smyslu, tak s energii chápanou jako působnost obsahů kolektivního nevědomí,tedy jako síla, kterou jsou hnaná a provázená určitá výkladová, interpretační schémata a projekce. Každá válka nemusí být primárně válkou o přírodní zdroje, o energii, ale žádná válka se bez obrovského plýtvání a ničení přírodních zdrojů a trans-generačního ničení psychiky všech lidí, kteří to vnímají, neobejde. Dokument jsem neviděl."
148,"Hey Lex, please get John Vervaeke on your podcast. That would be an amazing dicussion!"
149,"What a thoughtful, considerate and measured interviewer you are Lex. Was a privilege to journey with you for the last 1hr, 52 minutes and 38 seconds. Thank you."
150,Outstanding interview! Thanks
151,Bravo Oliver Stone!!!
152,🙏🙇‍♀️👏💘🔥🔥🔥Brilliantly well done 🙌
153,Great interview.
154,"Thank you @lex Friedman and @Oliver Stone .Keep jumping around, its a sign of a great conversation. Super enlightening , I realise my  my ignorance in in the history of this situation in Russia.  Thank you for the education, BTW men and women talking freely is pretty cool."
155,"Спасибо за это интервью! Настолько профессионально, смотрела на одном дыхании 🙌🏻"
156,I remember watching the Putin 2007 speech and the sneer on John McCain's face. McCain was  absolutely disgusting.
157,Wall Street (1987) still one of my favorites
158,"When the people reason through their opposing ideas in this modern social media way, as ugly as it can be, the people have the opportunity to hone their ability to see what is reasonable. Optimistic. They get stronger."
159,"lol at Mr Stone feeling we ""Europeans don't have a sense of sovereignity"". Welcome to reality Oliver. 😅"
160,"Great interview! Thank you, Lex."
161,Great interview
162,Major respect to Lex ! He managed to maintain his usual composure despite the personal aspect to all of the topics particularly towards the end in relation to interviewer objectivity and hitler. Keep it up
163,so let me get this straight. he’s been extremely bothered by this country’s attitude towards putin and russia for most of his life… then he votes for biden? that’s where you lost me. just doesn’t add up.
164,Love to hear he’s views on Davi’s & the WEF
165,Fantastic interview
166,very interesting interview from all sides. thank you!
167,"„Nuclear hasn‘t killed many people“ well… it is kinda true, it killed much less than what some eco-fanatics make you believe but that only like 15 people died at Chernobyl is just wrong. Very few people died of radiation poisoning. A lot of people died of cancer. Difficult to measure how many cancer deaths would not have happened without the buclear accidents but as far as I remember the lowest estimates were in the ten thousands."
168,Thank you for bringing up France and Germany. I point out this case study every time the green energy conversation crops up.
169,You guys go deep. Thank you both. I appreciate a great conversation.
170,"Mr. Stone is definitely an admirable intellectual. I'm always up to hear his take. Always interesting, erudite and entertaining too.
As one who clearly admires and acknowledges the worth and tragedy of JFK, to be consistent, Mr. Stone must do the same for Trump. To not do so, isn't about Trump or JFK or me. It's a matter of consistency,  credibility and integrity."
171,He would easily find a job on russian TV. I mean Stone.
172,Waiting to see how this - and Lex's podcasts which stand in direct contrast to the views expressed here - will age...
173,Great interview Lex
174,Let's not forget Oliver Stone was also one of the writers for the 1st Conan movie with Arnold Schwarzenegger
175,"I agree with Stone's advocacy for nuclear power, but (at around16 minutes) coal and oil are worse than methane or natural gas when looking at energy per mass or amount of additional pollutes."
176,Great interview as always. Would love to see you interview Peter Zeihan to discuss the geopolitical and demographic forces that are undermining the world order and may result in famine for 2B people
177,Lex was emotional in this interview...I think he wasn't fair as always
178,"Oliver ""I really must say I understand dictators, they're actually great people"" Stone. rofl"
179,"One positive in an ocean of negative, Oliver Stone"
180,I always laugh at the compliments towards Putin lol.....  He sure is a swell fella right?.....
181,Oliver stone paints a strange picture of the world where Stalin and Guevara were victims and not violent and imperialists in their own right…
182,"Power might or might not corrupt an individual, but power does attract the corruptible, or the already corrupted. The military industrial complex has fallen under the control of corrupt or criminally minded people, who would then use the complex to further their own individual goals. Humans are in control of this planet, not some abstract bureaucracy. It's just easier to blame bureaucracy, instead of ourselves. As you say Lex, evil lies in every heart."
183,"Probably not the best comparison of Putin being kgb to hw Bush being cia in an effort to downplay it, especially in the same conversation of the jfk assassination and the consequences that had considering HW was at the very least complicit in the jfk assassination."
184,"Oliver Stone is duplicitous.
It was NOT anti-Russian in the 50s.
It was anti-Communist.
Words matter Oliver.
I’m Not a Leftist, much less a Socialist or Communist.
I am a Conservative Traditionalist.
I am an anti-Leftist, at minimum.
But I am rooting for Russia to re-establish itself as a thriving nation.
It is a tragedy that the Russians felt they were put in an existential position.
You don’t speak for anyone but yourself Oliver. And your father was right. There was active efforts to infiltrate and sow discord in the US by the Soviets. We are seeing the results now.
How do you like it ?"
185,Well done 👍
186,"Loved your intro, you are a light in the darkness Lex. Keep up the great work"
